ID,Дата,Платформа,Формат,Тип,Тренд-основа,Название идеи,Этап,Статус,Файл,Комментарий
001,01.06.2026,ВК / ТГ,Моушн,ПРОДУКТ / ЛАЙФ,Начало лета + тройной старт,Лето началось,3 — Сценарий,Готово,content/motions/summer-start.html,HTML-анимация 1080x1920 GSAP
002,04.06.2026,ВК / ТГ / Reels,Вертикальный ролик,ЛАЙФ,До/после утра,Утро переключилось,3 — Сценарий,Готово,content/scenarios/reels-morning-switch.md,Раскадровка 18-22 сек
003,04.06.2026,TikTok / Reels,Вертикальный ролик,ЛАЙФ,UGC нативная,Что я ем на завтрак честно,3 — Сценарий,Готово,content/briefs/native-tiktok-ugc.md,Сценарий A — нативный обзор
004,04.06.2026,TikTok / Reels,Вертикальный ролик,ЛАЙФ,Скрытая интеграция,Список покупок,3 — Сценарий,Готово,content/briefs/native-tiktok-ugc.md,Сценарий B — скрытая интеграция
005,04.06.2026,TikTok / Reels,Вертикальный ролик,ЛАЙФ,Скрытая интеграция,Работаю из дома,3 — Сценарий,Готово,content/briefs/native-tiktok-ugc.md,Сценарий C — продукт в кадре
006,04.06.2026,TikTok / Reels,Вертикальный ролик,ЛАЙФ,Скрытая интеграция,Активный день,3 — Сценарий,Готово,content/briefs/native-tiktok-ugc.md,Сценарий D — после тренировки
007,04.06.2026,TikTok,Вертикальный ролик,ПРОДУКТ,Charli XCX Rock Music glitch,Glitch-reveal бутылки,1 — Идея,На согласовании,,Глитч в момент глитча трека — стоп-кадр на бутылке
008,04.06.2026,TikTok,Вертикальный ролик,ЛАЙФ,Josh Fawaz Like a Prayer remix,7-секундный Summer Anthem,1 — Идея,На согласовании,,7 сек + текст «моё лето уже началось»
009,04.06.2026,TikTok / Reels,Вертикальный ролик,ЛАЙФ,Lyric Overlay,Внутренний монолог утра,1 — Идея,На согласовании,,Текст поверх видео в ритм трека перед дропом Olivia Rodrigo 12.06
010,04.06.2026,TikTok / ВК Клипы,Вертикальный ролик,ПОЛЬЗА,Миф или правда,Пробиотики — миф или правда,1 — Идея,На согласовании,,Утверждение → пауза → ответ через АктиБио
011,04.06.2026,TikTok,Вертикальный ролик,ПРОДУКТ,ASMR еды,ASMR открывания АктиБио,1 — Идея,На согласовании,,Открывание + наливание + глоток. Без слов
